timestamp,cpu_usage,memory_usage,net_io,disk_io,cloud_provider,region,vm_type,vCPU,RAM_GB,price_per_hour,target,latency_ms,throughput,cost,utilization
2024-01-01 00:00:00,43.71,95.56,379.4,638.79,Azure,us-east,t2.micro,1,1.0,0.0116,scale_up,228.02,1380.99,0.0174,69.64
2024-01-01 00:05:00,15.23,87.96,320.5,737.27,Azure,us-west,t2.micro,1,1.0,0.0116,scale_up,243.71,1059.03,0.0174,51.59
2024-01-01 00:10:00,26.36,26.51,186.91,572.28,AWS,us-east,B1s,1,1.0,0.012,scale_down,256.32,500.59,0.018,26.44
2024-01-01 00:15:00,65.07,22.55,181.47,429.73,AWS,asia-south,B1s,1,1.0,0.012,no_action,270.85,864.91,0.018,43.81
2024-01-01 00:20:00,27.97,56.28,316.59,141.81,Azure,us-east,B1s,1,1.0,0.012,no_action,246.37,861.28,0.018,42.12
2024-01-01 00:25:00,15.85,95.4,484.53,827.56,GCP,us-east,t2.micro,1,1.0,0.0116,scale_up,238.37,1097.92,0.0174,55.62
2024-01-01 00:30:00,71.58,49.61,104.92,545.66,AWS,us-east,t2.micro,1,1.0,0.0116,no_action,247.63,1150.86,0.0174,60.59
2024-01-01 00:35:00,38.05,56.81,296.02,266.37,Azure,asia-south,t2.micro,1,1.0,0.0116,no_action,259.95,957.17,0.0174,47.43
2024-01-01 00:40:00,17.96,27.64,70.35,392.8,Azure,us-east,B1s,1,1.0,0.012,scale_down,262.41,420.01,0.018,22.8
2024-01-01 00:45:00,84.59,42.11,176.42,588.43,Azure,asia-south,B1s,1,1.0,0.012,no_action,239.89,1247.75,0.018,63.35
2024-01-01 00:50:00,16.71,98.82,397.51,278.84,GCP,us-east,n1-standard-1,1,3.75,0.0475,scale_up,252.54,1201.86,0.1366,57.77
2024-01-01 00:55:00,79.41,16.66,211.31,204.28,Azure,us-west,t2.micro,1,1.0,0.0116,no_action,255.28,1009.48,0.0174,48.03
2024-01-01 01:00:00,39.78,15.72,189.94,392.66,AWS,asia-south,n1-standard-1,1,3.75,0.0475,no_action,280.38,622.81,0.1366,27.75
2024-01-01 01:05:00,89.85,52.5,103.82,741.92,GCP,us-west,t2.micro,1,1.0,0.0116,scale_up,232.44,1500.4,0.0174,71.17
2024-01-01 01:10:00,79.39,54.44,285.23,484.79,AWS,us-west,t2.micro,1,1.0,0.0116,no_action,233.96,1323.35,0.0174,66.91
2024-01-01 01:15:00,38.29,55.77,458.4,324.36,AWS,us-west,t2.micro,1,1.0,0.0116,no_action,267.75,914.69,0.0174,47.03
2024-01-01 01:20:00,30.59,16.93,180.39,245.1,GCP,us-west,B1s,1,1.0,0.012,no_action,285.39,491.64,0.018,23.76
2024-01-01 01:25:00,82.33,26.79,451.65,585.41,GCP,us-east,B1s,1,1.0,0.012,no_action,238.42,1074.82,0.018,54.56
2024-01-01 01:30:00,30.51,48.44,418.11,874.66,GCP,asia-south,t2.micro,1,1.0,0.0116,no_action,260.58,777.77,0.0174,39.48
2024-01-01 01:35:00,47.57,29.99,103.94,403.85,GCP,us-east,B1s,1,1.0,0.012,no_action,259.61,795.8,0.018,38.78
2024-01-01 01:40:00,56.69,73.27,213.63,974.6,GCP,asia-south,B1s,1,1.0,0.012,no_action,215.83,1298.27,0.018,64.98
2024-01-01 01:45:00,35.64,13.32,324.3,552.41,GCP,asia-south,t2.micro,1,1.0,0.0116,no_action,273.6,504.68,0.0174,24.48
2024-01-01 01:50:00,23.04,54.05,493.54,317.85,Azure,us-east,t2.micro,1,1.0,0.0116,no_action,272.88,808.5,0.0174,38.55
2024-01-01 01:55:00,31.39,75.54,215.5,669.08,Azure,us-east,n1-standard-1,1,3.75,0.0475,no_action,252.4,1178.82,0.1366,53.47
2024-01-01 02:00:00,18.13,85.18,194.35,267.87,AWS,us-east,t2.micro,1,1.0,0.0116,scale_up,249.34,1007.93,0.0174,51.66
